semana_fin,pais,casos_semana,factor_crec_7d
2021-08-08,Argentina,80437.0,0.9221782745772428
2021-08-09,Argentina,78594.0,0.9318709983400522
2021-08-10,Argentina,76319.0,0.9284211038526574
2021-08-11,Argentina,73151.0,0.8919113343737807
2021-08-12,Argentina,71546.0,0.8802303121270654
2021-08-13,Argentina,67377.0,0.8312401302803001
2021-08-14,Argentina,64322.0,0.7959559960896413
2021-08-15,Argentina,62306.0,0.774593781468727
2021-08-16,Argentina,53971.0,0.686706364353513
2021-08-17,Argentina,52229.0,0.6843512100525426
2021-08-18,Argentina,50966.0,0.6967232163606786
2021-08-19,Argentina,49402.0,0.6904928297878288
2021-08-20,Argentina,48150.0,0.7146355581281446
2021-08-21,Argentina,47652.0,0.7408351730356643
2021-08-22,Argentina,47254.0,0.7584181298751325
2021-08-23,Argentina,51046.0,0.9458042281966241
2021-08-24,Argentina,48824.0,0.9348063336460587
2021-08-25,Argentina,45535.0,0.8934387630969666
2021-08-26,Argentina,42733.0,0.8650054653657747
2021-08-27,Argentina,40251.0,0.8359501557632398
2021-08-28,Argentina,39054.0,0.8195668597330648
